N_total,error,log10_error
7090645,9.868240623773616E-5,-4.00576026936643
7100645,8.545027096306868E-5,-4.06828655579194
7110644,1.7176645206581898E-4,-3.7650616548552627
7120644,1.4192472559903916E-4,-3.847941936778
7130643,4.40890491941083E-5,-4.355669266884828
7140643,8.521336530853091E-5,-4.069492282879806
7150642,4.6128242548312944E-6,-5.33603309137286
7160642,7.125865354969955E-6,-5.147162388011669
7170641,1.5496412083671694E-4,-3.809768843290163
7180641,3.435428840899705E-5,-4.464019042705857
7190640,3.884098002613969E-4,-3.410709820613287
7200640,8.941717143710962E-6,-5.048579072431356
7210639,6.0455415671514546E-5,-4.2185647884193544
7220639,1.5140143841488665E-4,-3.8198699987284135
7230638,1.0181400862749862E-4,-3.9921924631479677
7240638,4.2048600118791167E-4,-3.376248458149168
7250637,9.728745485344456E-5,-4.011943158078873
7260637,7.189224815651282E-5,-4.143317935268674
7270636,5.5016146576272905E-5,-4.259509831599331
7280636,3.3434609765565186E-4,-3.4758037413335505
7290635,2.25878172405475E-5,-4.64612573482496
7300635,1.3172882928705584E-4,-3.8803191678619045
7310634,1.7529766673114982E-4,-3.7562238644682715
7320634,8.287541033560714E-5,-4.08157430828794
7330633,3.1275822318335125E-4,-3.5047912628137468
7340633,3.376679622797609E-5,-4.471510142992537
7350632,1.7358347161966622E-4,-3.7604916301163893
7360632,9.516402005798653E-5,-4.021527220143349
7370631,3.664008343240624E-4,-3.4360435460797225
7380631,1.6543244530711881E-4,-3.781379310769084
7390630,6.309291869968886E-5,-4.200019381520161
7400630,2.462321651699553E-4,-3.6086552160538097
7410629,8.253984873261757E-5,-4.083336331371489
7420629,1.738781833275675E-4,-3.7597549059491926
7430628,3.745442603212282E-5,-4.426496853859072
7440628,1.3645687635550633E-4,-3.8650045744095767
7450627,2.9433802597925875E-5,-4.53115362710817
7460627,2.190852201076503E-4,-3.659386919756495
7470626,1.341203414408775E-4,-3.8725053496236215
7480626,5.873407373831357E-5,-4.23110987586888
7490625,5.560272876610815E-5,-4.254903894407458
7500625,3.8056516418451535E-4,-3.419570968268779
7510624,7.53885785690591E-5,-4.122694445113729
7520624,1.966039064002621E-4,-3.706407857250458
7530623,2.131234381520033E-4,-3.671368786323612
7540623,4.3471471703622164E-5,-4.361795656750895
7550622,3.6872868438667556E-4,-3.43329307615497
7560622,1.947305854789798E-5,-4.710565830392998
7570621,1.8143927316380642E-4,-3.7412687025445748
7580621,1.5717859162086724E-4,-3.8036066069866683
7590620,1.2278343179234275E-4,-3.910860232271499
7600620,2.779140142976207E-4,-3.5560895526157017
7610619,3.158834115801733E-5,-4.500473180199171
7620619,4.580726256833575E-5,-4.339065660788606
7630618,1.9895681486453124E-4,-3.7012411803810172
7640618,1.7269737858890787E-4,-3.7627142546329613
7650617,1.2439451526755278E-4,-3.9051987678891584
7660617,3.883363199266639E-4,-3.4107919892992156
7670616,2.7449944366150184E-4,-3.5614585314141975
7680616,3.037460293232115E-4,-3.5174893906094007
7690615,1.854416326534746E-4,-3.731792757775682
7700615,9.64148903090553E-5,-4.015855888507269
7710614,4.5425531978743154E-4,-3.342699977964236
7720614,2.1594552644657264E-5,-4.665655788419872
7730613,6.287424761861635E-5,-4.201527198867042
7740613,1.2217628448862533E-4,-3.913013086362491
7750612,1.1705814901691063E-4,-3.9315983474531504
7760612,4.8471354214406885E-4,-3.3145148465939633
7770611,1.61131954777623E-4,-3.7928183242150504
7780611,1.062712319964699E-4,-3.973584284640317
7790610,6.0119895910771505E-6,-5.220981780004902
7800610,4.7786391747586965E-5,-4.320695760926641
7810609,1.1182175443766734E-4,-3.9514736981208047
7820609,4.329739646454119E-5,-4.363538217620719
7830608,5.98129810226795E-5,-4.223204552220267
7840608,9.177057483145076E-5,-4.037296547958455
7850607,4.50352409474291E-5,-4.346447509352799
7860607,1.3557336030231632E-5,-4.867825639453542
7870606,1.1234984072356136E-4,-3.94942753893624
7880606,1.2201663590010055E-5,-4.913580953037807
7890605,2.1052427838320306E-4,-3.6766978126081327
7900605,3.2188629066178513E-4,-3.492297519793807
7910604,1.886138574281601E-4,-3.7244264028844825
7920604,1.676891611942011E-4,-3.7754950076722364
7930603,1.5139146811950327E-4,-3.8198985994266206
7940603,1.6258828495383822E-4,-3.788910750028512
7950602,5.411466230410926E-6,-5.266685047369947
7960602,3.035865473031625E-5,-4.517717477050101
7970601,1.9366902562939083E-4,-3.712939832424402
7980601,3.8088504989338215E-4,-3.4192060734830014
7990600,1.4827815790799888E-4,-3.8289228179443393
8000600,5.674181505787004E-5,-4.246096776100802
8010599,1.3839958119746043E-4,-3.8588652240693415
8020599,2.1863152128673073E-5,-4.660287223292098
8030598,1.6884153449896636E-4,-3.7725207094588447
8040598,1.5977938928132532E-5,-4.796479243161501
8050597,1.9973384582965873E-4,-3.6995483356722416
8060597,1.7929544720946225E-4,-3.746430738195271
8070596,3.045256678874396E-4,-3.516376095635157
8080596,1.2325839027759247E-4,-3.909183508340894
8090595,2.953173207671691E-4,-3.529711080319031
8100595,2.3822695554397658E-5,-4.623009099353354
8110594,1.0904657557102963E-4,-3.9623879681775045
8120594,1.5167794451413942E-4,-3.8190775653713542
8130593,1.0724021937196974E-4,-3.969642306289881
8140592,5.849503890328627E-5,-4.232880965854429
8150592,2.822813235764389E-4,-3.549317854888902
8160591,1.5474924520682112E-5,-4.810371460584497
8170591,2.5818787100423385E-4,-3.588064163617462
8180590,1.1325076832868356E-4,-3.9459588429153456
8190590,2.581516084275447E-4,-3.5881251647130936
8200589,1.9399370879208793E-4,-3.7122123539933995
8210589,3.590744730057509E-4,-3.4448154682429015
8220588,4.425309936752341E-5,-4.354056307088749
8230588,1.3045536147995296E-4,-3.884538067477444
8240588,7.606746471006035E-5,-4.118801058318131
8250587,3.549194775129048E-4,-3.449870166489931
8260587,1.3843440196170876E-4,-3.8587559711107566
8270586,2.473859050882468E-4,-3.60662504810535
8280586,2.738445646665639E-4,-3.562495874632018
8290585,4.525544243645219E-4,-3.3443291849010173
8300585,2.785918877890262E-4,-3.555031533783395
8310584,1.2587327423843985E-4,-3.9000664707093127
8320584,2.6073869948760306E-5,-4.583794504978237
8330583,2.158988386370054E-4,-3.665749693816286
8340583,7.685160104424129E-5,-4.114347080442227
8350582,1.3101009964617798E-4,-3.882695223034833
8360582,1.5902999098021793E-4,-3.7985209656860035
8370581,2.858210731977773E-4,-3.5439057544249604
8380581,2.8725573854191132E-5,-4.541731286600713
8390580,8.435245908859878E-5,-4.07390225210222
8400580,4.1544676867656746E-5,-4.381484614601965
8410579,3.442959546858057E-4,-3.463068080019559
8420579,7.072172706275602E-5,-4.150447142159768
8430578,1.6534000724454274E-5,-4.781622047679186
8440578,9.707647731899966E-5,-4.012885991597185
8450577,3.2835955039466156E-4,-3.48365034766211
8460577,4.5803838469535415E-5,-4.339098125570675
8470576,4.015868388598341E-5,-4.396220528692246
8480576,3.6074896518543536E-4,-3.442794906013816
8490575,2.0396124344510148E-5,-4.69045234903002
8500575,2.571759156684173E-4,-3.5897697051959594
8510574,7.946948284241661E-5,-4.099799613199484
8520574,3.3206161935445735E-4,-3.4787813185173357
8530573,1.1576792082456824E-4,-3.936411766506173
8540573,1.7745868584541645E-4,-3.750902738934497
8550572,6.038843641387451E-5,-4.219046215061617
8560572,8.365838055319869E-5,-4.077490546683632
8570571,6.175954202086641E-5,-4.209295933179898
8580571,1.3009094448262194E-4,-3.885752933247045
8590570,4.9340396323959564E-5,-4.306797366386262
8600570,2.6960064684794223E-4,-3.569279070140594
8610569,1.404643219979533E-4,-3.8524339727488344
8620569,1.4327578666088422E-4,-3.84382719835412
8630568,1.679232356027867E-4,-3.7748892062092563
8640568,4.3216009263703206E-4,-3.3643553400620587
8650567,3.5492856305756033E-4,-3.4498590491755663
8660567,1.1884983285526702E-4,-3.9250014247064047
8670566,1.811905475558078E-5,-4.74186446257218
8680566,1.3456242864640056E-4,-3.871076183123066
8690565,1.143921665817582E-4,-3.941603714413595
8700565,2.4801264270852663E-4,-3.6055261799858767
8710564,1.0948745378947878E-4,-3.9606356439487347
8720564,3.510016444255092E-4,-3.4546908488810373
8730563,3.895972972932278E-5,-4.409384064562182
8740563,4.182588483249078E-5,-4.378554862707388
8750562,1.5651496016705387E-4,-3.8054441449706764
8760562,2.2124825895895444E-4,-3.655120138155533
8770561,1.8807007805618508E-4,-3.7256802951927295
8780561,2.370611849876173E-5,-4.625139549040212
8790560,1.2828327501839828E-4,-3.8918299612454472
8800560,1.994606635543746E-4,-3.7001427405071836
8810559,2.215589455588457E-4,-3.6545107104104617
8820559,1.0785203795041078E-4,-3.9671716441427463
8830558,1.326558199670227E-4,-3.8772736915986052
8840558,5.746259813001628E-5,-4.240614741587717
8850557,2.2114316445873258E-4,-3.6553264801412375
8860557,1.3332329783778636E-4,-3.8750939523244456
8870556,1.6239471323841104E-4,-3.789428113326113
8880556,1.9880615133874088E-4,-3.7015701820557014
8890555,1.3081489291205258E-4,-3.883342809977094
8900555,1.4397435466258633E-4,-3.84171485943536
8910554,1.3442436761279734E-4,-3.8715219979448996
8920554,6.069948300604892E-5,-4.21681500791282
8930553,1.953333159220975E-4,-3.709223677412855
8940553,1.5806361822196001E-4,-3.8011680808818866
8950552,1.4038880663775114E-4,-3.8526675176282126
8960552,2.722637734802918E-4,-3.565010140607338
8970551,3.161186319626835E-5,-4.50014990618474
8980551,9.148355256514119E-5,-4.03865697885453
8990550,9.97823564125474E-6,-5.000946244184345
9000550,1.498879783408412E-4,-3.824233198036319
